window_id,disturbance_id,flow_point,disturbance_flag,true_is_disturbed,online_class,true_class,class_correct,mahalanobis_A,mahalanobis_B
updated_20260607_home__20260607_093346,D0,50,False,False,D0,D0,True,3.3195442371123343,4.162955003278588
updated_20260607_home__20260607_104833,D0,80,False,False,D0,D0,True,3.3128247088811893,4.36522956150754
updated_20260607_home__20260607_111129,D0,70,False,False,D0,D0,True,3.1013455029400028,4.567369908034158
updated_20260607_home__20260607_113256,D0,60,False,False,D0,D0,True,3.429626660744065,4.210876452848887
updated_20260607_home__20260607_115557,D0,60,False,False,D0,D0,True,3.3404548720185723,4.321816770332232
updated_20260607_home__20260607_122116,D0,50,False,False,D0,D0,True,3.288648383501293,4.414636167022983
updated_20260607_home__20260607_124409,D0,40,False,False,D0,D0,True,3.2680521323584357,4.72618142882198
updated_20260607_home__20260607_133216,D0,80,False,False,D0,D0,True,3.1198069853843777,4.174660374553329
updated_20260607_home__20260607_135505,D0,70,False,False,D0,D0,True,3.3865080061852586,3.8493596190647397
updated_20260607_home__20260607_141757,D0,60,False,False,D0,D0,True,3.2506177492561728,4.312867027367423
updated_20260608_home__20260608_090825,D7,70,True,True,A,A,True,1.8234632562181883,5.03867104822737
updated_20260608_home__20260608_093103,D7,60,True,True,A,A,True,1.3202526764635787,5.414670520865684
updated_20260608_home__20260608_103248,D7,40,True,True,A,A,True,0.9208575262932663,5.467861377825163
updated_20260608_home__20260608_105332,D7,30,True,True,A,A,True,0.9631086375412157,5.620822981713726
updated_20260608_home__20260608_112156,D7,80,True,True,A,A,True,1.9404421589575147,5.168598637974985
updated_20260608_home__20260608_130102,D7,60,True,True,A,A,True,1.5417299503943698,5.066017961306321
updated_20260608_home__20260608_135520,D7,60,True,True,A,A,True,1.3932865538972627,5.263747988440923
updated_20260608_home__20260608_155232,D7,70,True,True,A,A,True,1.815590142592204,5.160785645466449
updated_20260608_home__20260608_161457,D7,70,True,True,A,A,True,1.7163929233734836,5.035267952103271
updated_20260608_home__20260608_163905,D7,60,True,True,A,A,True,1.868428644918712,4.994249192099684
updated_20260608_home__20260608_170026,D7,60,True,True,A,A,True,1.2208678224605465,5.204330791013084
updated_20260608_home__20260608_174749,D7,40,True,True,A,A,True,0.858417205909831,5.307164731247706
updated_20260608_home__20260608_181045,D7,30,True,True,A,A,True,0.9456130010125179,5.670091054172002
