point_id,x_mm,y_mm
0,-77.9355317,0.0335551
1,-77.9329625,0.2018008
2,-77.9333324,0.3704782
3,-77.9310664,0.538708
4,-77.9295341,0.7072953
5,-77.9271435,0.8755561
6,-77.924571,1.0440376
7,-77.9210962,1.2125179
8,-77.9174217,1.3809712
9,-77.9124944,1.5492654
10,-77.9067137,1.7176622
11,-77.900443,1.8859992
12,-77.8932029,2.0542987
13,-77.885657,2.2225707
14,-77.8770251,2.3906882
15,-77.8669968,2.5584025
16,-77.85409,2.7264072
17,-77.8426757,2.8939662
18,-77.8283837,3.0614364
19,-77.8135739,3.2292437
20,-77.7975286,3.3966054
21,-77.7803857,3.5642271
22,-77.7627747,3.7309063
23,-77.7404745,3.8981097
24,-77.7226808,4.0658786
25,-77.7002648,4.2321652
26,-77.6776005,4.3990272
27,-77.6529889,4.5654009
28,-77.6281267,4.7320012
29,-77.6018496,4.8980297
30,-77.5735316,5.0637719
31,-77.5442405,5.2299199
32,-77.5165222,5.3953221
33,-77.4831026,5.5602924
34,-77.4529588,5.7257145
35,-77.4192742,5.8899158
36,-77.3840548,6.0548183
37,-77.348772,6.2193164
38,-77.3118791,6.3830592
39,-77.2739801,6.5471565
40,-77.2353885,6.7109565
41,-77.195557,6.874163
42,-77.1537608,7.0372111
43,-77.111777,7.2004498
44,-77.0687149,7.3631418
45,-77.024396,7.5252709
46,-76.9782314,7.6872038
47,-76.9320488,7.8492424
48,-76.8845057,8.0104988
49,-76.8356036,8.1716197
50,-76.7859409,8.3323638
51,-76.734864,8.4927135
52,-76.6831302,8.6527125
53,-76.6294543,8.8122309
54,-76.5755659,8.9718045
55,-76.5201998,9.1304747
56,-76.4633375,9.2891183
57,-76.4063954,9.4474954
58,-76.3475225,9.6050882
59,-76.2880663,9.7624782
60,-76.2267643,9.9191087
61,-76.1650392,10.0758699
62,-76.1023732,10.2311111
63,-76.0353647,10.3861879
64,-75.9719867,10.5427916
65,-75.905702,10.6965266
66,-75.837724,10.8506088
67,-75.7692331,11.0045241
68,-75.7003096,11.1576737
69,-75.6289748,11.3101639
70,-75.5580665,11.4630652
71,-75.4859663,11.6148044
72,-75.4128216,11.7661467
73,-75.3386168,11.9173752
74,-75.2644167,12.0672383
75,-75.1849181,12.2163219
76,-75.1099825,12.3680219
77,-75.0328161,12.5165775
78,-74.9537276,12.6651824
79,-74.8741919,12.8134696
80,-74.7937088,12.9611926
81,-74.7122471,13.1083554
82,-74.6295575,13.2548764
83,-74.5459625,13.4010976
84,-74.4618433,13.546785
85,-74.3766744,13.6921277
86,-74.2917155,13.8365385
87,-74.2028483,13.979763
88,-74.1161684,14.1248443
89,-74.0278702,14.2673763
90,-73.9379771,14.4098501
91,-73.8478943,14.5520829
92,-73.756807,14.6934543
93,-73.6647867,14.8345183
94,-73.572303,14.9751307
95,-73.4786529,15.1148317
96,-73.3840196,15.2540316
97,-73.2886004,15.3925661
98,-73.1921906,15.5305091
99,-73.0952221,15.6681593
100,-72.9975284,15.8048
101,-72.8978549,15.9406377
102,-72.7985191,16.0766541
103,-72.6982846,16.2111958
